timestamp,account_id,type,amount,balance_after
2026-09-15 09:41:40,ACC1001,DEPOSIT,5000,5000
2026-09-15 09:41:40,ACC1001,DEPOSIT,1500,6500
2026-09-15 09:41:40,ACC1001,WITHDRAWAL,800,5700
2026-09-15 09:41:40,ACC1001,TRANSFER_OUT,1000,4700
2026-09-15 09:41:40,ACC1002,DEPOSIT,1000,1000
2026-09-15 09:41:40,ACC1002,WITHDRAWAL,1300,-300
2026-09-15 09:41:40,ACC1002,TRANSFER_IN,1000,700
2026-09-15 09:41:40,ACC1002,DEPOSIT,200,900
2026-09-15 09:41:40,ACC1003,DEPOSIT,2000,2000
2026-09-15 09:41:40,ACC1003,DEPOSIT,300,2300
2026-09-15 09:41:40,ACC1003,DEPOSIT,92.0,2392.0
